energy_mev,mu
0.001,4.659972
0.0015,1.537377
0.002,0.6812817
0.003,0.2090781
0.003203,0.171969
0.003203,0.1907175
0.004,0.09984546
0.005,0.05139675
0.006,0.02972607
0.008,0.012446418
0.01,0.006331821
0.015,0.001917519
0.02,0.000892687
0.03,0.000397727
0.04,0.000284589
0.05,0.000244248
0.06,0.000224723
0.08,0.000204553
0.1,0.000192528
0.15,0.000172098
0.2,0.000157617
0.3,0.000137317
0.4,0.000123029
0.5,0.000112349
0.6,0.000103944
0.8,9.13505E-05
1,8.21314E-05
1.022,8.13038E-05
1.25,7.34941E-05
1.5,6.6874E-05
2,5.74868E-05
2.044,5.68015E-05
3,4.62894E-05
4,3.98115E-05
5,3.55704E-05
6,3.26095E-05
7,3.04372E-05
8,2.87693E-05
9,2.74763E-05
10,2.64419E-05
11,2.55885E-05
12,2.48903E-05
13,2.43084E-05
14,2.383E-05
15,2.34033E-05
16,2.30542E-05
18,2.24853E-05
20,2.20586E-05
22,2.17353E-05
24,2.14897E-05
26,2.13086E-05
28,2.11664E-05
30,2.10371E-05
40,2.08302E-05
50,2.0869E-05
60,2.10242E-05
80,2.13862E-05
100,2.17612E-05